Date,Predicted,New
01-06-2016,44.21,54.21
02-06-2016,44.10555556,54.10555556
03-06-2016,44.00111111,54.00111111
04-06-2016,43.89666667,53.89666667
05-06-2016,43.79222222,53.79222222
06-06-2016,43.68777778,53.68777778
07-06-2016,43.58333333,53.58333333
08-06-2016,43.47888889,53.47888889
09-06-2016,43.37444444,53.37444444
10-06-2016,43.27,53.27
11-06-2016,43.16555556,53.16555556
12-06-2016,43.06111111,53.06111111
13-06-2016,42.95666667,52.95666667
14-06-2016,42.85222222,52.85222222
15-06-2016,42.74777778,52.74777778
16-06-2016,42.64333333,52.64333333
17-06-2016,42.53888889,52.53888889
18-06-2016,42.43444444,52.43444444
19-06-2016,42.33,52.33
20-06-2016,42.22555556,52.22555556
21-06-2016,42.12111111,52.12111111
22-06-2016,42.01666667,52.01666667
23-06-2016,41.91222222,51.91222222
24-06-2016,41.80777778,51.80777778
25-06-2016,41.70333333,51.70333333
26-06-2016,41.59888889,51.59888889
27-06-2016,41.49444444,51.49444444
28-06-2016,41.39,51.39
29-06-2016,42.435,52.435
30-06-2016,43.48,53.48
01-07-2016,42.81714286,52.81714286
02-07-2016,42.15428571,52.15428571
03-07-2016,41.49142857,51.49142857
04-07-2016,40.82857143,50.82857143
05-07-2016,40.16571429,50.16571429
06-07-2016,39.50285714,49.50285714
07-07-2016,38.84,48.84
08-07-2016,38.17714286,48.17714286
09-07-2016,37.51428571,47.51428571
10-07-2016,36.85142857,46.85142857
11-07-2016,36.18857143,46.18857143
12-07-2016,35.52571429,45.52571429
13-07-2016,34.86285714,44.86285714
14-07-2016,34.2,44.2
15-07-2016,37.86,47.86
16-07-2016,41.52,51.52
17-07-2016,41.716,51.716
18-07-2016,41.912,51.912
19-07-2016,42.108,52.108
20-07-2016,42.304,52.304
21-07-2016,42.5,52.5
22-07-2016,42.696,52.696
23-07-2016,42.892,52.892
24-07-2016,43.088,53.088
25-07-2016,43.284,53.284
26-07-2016,43.48,53.48
27-07-2016,43.676,53.676
28-07-2016,43.872,53.872
29-07-2016,44.068,54.068
30-07-2016,44.264,54.264
31-07-2016,44.46,54.46
01-08-2016,39.81,49.81
02-08-2016,42.82,52.82
03-08-2016,43.27285714,53.27285714
04-08-2016,43.72571429,53.72571429
05-08-2016,44.17857143,54.17857143
06-08-2016,44.63142857,54.63142857
07-08-2016,45.08428571,55.08428571
08-08-2016,45.53714286,55.53714286
09-08-2016,45.99,55.99
10-08-2016,36.98,46.98
11-08-2016,36.77,46.77
12-08-2016,36.56,46.56
13-08-2016,36.35,46.35
14-08-2016,36.14,46.14
15-08-2016,35.93,45.93
16-08-2016,35.72,45.72
17-08-2016,35.51,45.51
18-08-2016,35.3,45.3
19-08-2016,35.09,45.09
20-08-2016,34.88,44.88
21-08-2016,34.67,44.67
22-08-2016,36.79,46.79
23-08-2016,38.18142857,48.18142857
24-08-2016,39.57285714,49.57285714
25-08-2016,40.96428571,50.96428571
26-08-2016,42.35571429,52.35571429
27-08-2016,43.74714286,53.74714286
28-08-2016,45.13857143,55.13857143
29-08-2016,46.53,56.53
30-08-2016,45.96318182,55.96318182
31-08-2016,45.39636364,55.39636364
01-09-2016,44.82954545,54.82954545
02-09-2016,44.26272727,54.26272727
03-09-2016,43.69590909,53.69590909
04-09-2016,43.12909091,53.12909091
05-09-2016,42.56227273,52.56227273
06-09-2016,41.99545455,51.99545455
07-09-2016,41.42863636,51.42863636
08-09-2016,40.86181818,50.86181818
09-09-2016,40.295,50.295
10-09-2016,39.72818182,49.72818182
11-09-2016,39.16136364,49.16136364
12-09-2016,38.59454545,48.59454545
13-09-2016,38.02772727,48.02772727
14-09-2016,37.46090909,47.46090909
15-09-2016,36.89409091,46.89409091
