Date,Predicted1,Predicted2,New1,New2
42522,44.21,,54.21,
42523,44.10555556,,54.10555556,
42524,44.00111111,,54.00111111,
42525,43.89666667,,53.89666667,
42526,43.79222222,,53.79222222,
42527,43.68777778,,53.68777778,
42528,43.58333333,,53.58333333,
42529,43.47888889,,53.47888889,
42530,43.37444444,,53.37444444,
42531,43.27,,53.27,
42532,43.16555556,,53.16555556,
42533,43.06111111,,53.06111111,
42534,42.95666667,,52.95666667,
42535,42.85222222,,52.85222222,
42536,42.74777778,,52.74777778,
42537,42.64333333,,52.64333333,
42538,42.53888889,,52.53888889,
42539,42.43444444,,52.43444444,
42540,42.33,,52.33,
42541,42.22555556,,52.22555556,
42542,42.12111111,,52.12111111,
42543,42.01666667,,52.01666667,
42544,41.91222222,,51.91222222,
42545,41.80777778,,51.80777778,
42546,41.70333333,,51.70333333,
42547,41.59888889,,51.59888889,
42548,41.49444444,,51.49444444,
42549,41.39,,51.39,
42550,42.435,,52.435,
42551,43.48,,53.48,
42552,42.81714286,,52.81714286,
42553,42.15428571,,52.15428571,
42554,41.49142857,,51.49142857,
42555,40.82857143,,50.82857143,
42556,40.16571429,,50.16571429,
42557,39.50285714,,49.50285714,
42558,38.84,,48.84,
42559,38.17714286,,48.17714286,
42560,37.51428571,,47.51428571,
42561,36.85142857,,46.85142857,
42562,36.18857143,,46.18857143,
42563,35.52571429,,45.52571429,
42564,34.86285714,,44.86285714,
42565,34.2,,44.2,
42566,37.86,,47.86,
42567,41.52,,51.52,
42568,41.716,,51.716,
42569,41.912,,51.912,
42570,42.108,,52.108,
42571,42.304,,52.304,
42572,42.5,,52.5,
42573,42.696,,52.696,
42574,42.892,,52.892,
42575,43.088,,53.088,
42576,43.284,,53.284,
42577,43.48,,53.48,
42578,43.676,,53.676,
42579,43.872,,53.872,
42580,44.068,,54.068,
42581,44.264,,54.264,
42582,44.46,,54.46,
42583,39.81,,49.81,
42584,42.82,,52.82,
42585,43.27285714,,53.27285714,
42586,43.72571429,,53.72571429,
42587,44.17857143,,54.17857143,
42588,44.63142857,,54.63142857,
42589,45.08428571,,55.08428571,
42590,45.53714286,,55.53714286,
42591,45.99,,55.99,
42592,36.98,,46.98,
42593,36.77,,46.77,
42594,36.56,,46.56,
42595,36.35,,46.35,
42596,36.14,,46.14,
42597,35.93,,45.93,
42598,35.72,,45.72,
42599,35.51,,45.51,
42600,35.3,,45.3,
42601,35.09,,45.09,
42602,34.88,,44.88,
42603,34.67,,44.67,
42604,36.79,,46.79,
42605,38.18142857,,48.18142857,
42606,39.57285714,,49.57285714,
42607,40.96428571,,50.96428571,
42608,42.35571429,,52.35571429,
42609,43.74714286,,53.74714286,
42610,45.13857143,,55.13857143,
42611,46.53,,56.53,
42612,45.96318182,,55.96318182,
42613,45.39636364,,55.39636364,
42614,44.82954545,,54.82954545,
42615,44.26272727,,54.26272727,
42616,43.69590909,,53.69590909,
42617,43.12909091,,53.12909091,
42618,42.56227273,,52.56227273,
42619,41.99545455,,51.99545455,
42620,41.42863636,,51.42863636,
42621,40.86181818,,50.86181818,
42622,40.295,,50.295,
42623,39.72818182,,49.72818182,
42624,39.16136364,,49.16136364,
42625,38.59454545,,48.59454545,
42626,38.02772727,,48.02772727,
42627,37.46090909,,47.46090909,
42628,36.89409091,,46.89409091,
42629,36.32727273,,46.32727273,
42630,35.76045455,,45.76045455,
42631,35.19363636,,45.19363636,
42632,34.62681818,,44.62681818,
42633,34.06,,44.06,
42634,39.24,,49.24,
42635,39.18,,49.18,
42636,39.12,,49.12,
42637,39.06,,49.06,
42638,39,,49,
42639,38.94,,48.94,
42640,38.88,,48.88,
42641,38.82,,48.82,
42642,38.76,,48.76,
42643,38.7,,48.7,
42644,38.64,,48.64,
42645,38.58,,48.58,
42646,38.52,,48.52,
42647,38.46,,48.46,
42648,38.4,,48.4,
42649,38.34,,48.34,
42650,38.28,,48.28,
42651,38.22,,48.22,
42652,38.16,,48.16,
42653,37.3375,,47.3375,
42654,36.515,,46.515,
42655,35.6925,,45.6925,
42656,34.87,,44.87,
42657,33.87,,43.87,
42658,32.87,,42.87,
42659,31.87,,41.87,
42660,33.62,,43.62,
42661,35.37,,45.37,
42662,34.59076923,,44.59076923,
42663,33.81153846,,43.81153846,
42664,33.03230769,,43.03230769,
42665,32.25307692,,42.25307692,
42666,31.47384615,,41.47384615,
42667,30.69461538,,40.69461538,
42668,29.91538462,,39.91538462,
42669,29.13615385,,39.13615385,
42670,28.35692308,,38.35692308,
42671,27.57769231,,37.57769231,
42672,26.79846154,,36.79846154,
42673,26.01923077,,36.01923077,
42674,25.24,,35.24,
42675,25.79142857,,35.79142857,
42676,26.34285714,,36.34285714,
42677,26.89428571,,36.89428571,
42678,27.44571429,,37.44571429,
42679,27.99714286,,37.99714286,
42680,28.54857143,,38.54857143,
42681,29.1,,39.1,
42682,28.92571429,,38.92571429,
42683,28.75142857,,38.75142857,
42684,28.57714286,,38.57714286,
42685,28.40285714,,38.40285714,
42686,28.22857143,,38.22857143,
42687,28.05428571,,38.05428571,
42688,27.88,,37.88,
42689,27.84,,37.84,
42690,27.8,,37.8,
42691,27.76,,37.76,
42692,27.72,,37.72,
42693,27.68,,37.68,
42694,27.64,,37.64,
42695,27.6,,37.6,
42696,27.74882353,,37.74882353,
42697,27.89764706,,37.89764706,
42698,28.04647059,,38.04647059,
42699,28.19529412,,38.19529412,
42700,28.34411765,,38.34411765,
42701,28.49294118,,38.49294118,
42702,28.64176471,,38.64176471,
42703,28.79058824,,38.79058824,
42704,28.93941176,,38.93941176,
42705,29.08823529,,39.08823529,
42706,29.23705882,,39.23705882,
42707,29.38588235,,39.38588235,
42708,29.53470588,,39.53470588,
42709,29.68352941,,39.68352941,
42710,29.83235294,,39.83235294,
42711,29.98117647,,39.98117647,
42712,30.13,,40.13,
42713,28.345,,38.345,
42714,26.56,,36.56,
42715,24.775,,34.775,
42716,22.99,,32.99,
42717,22.57875,,32.57875,
42718,22.1675,,32.1675,
42719,21.75625,,31.75625,
42720,21.345,,31.345,
42721,20.93375,,30.93375,
42722,20.5225,,30.5225,
42723,20.11125,,30.11125,
42724,19.7,,29.7,
42725,21.285,,31.285,
42726,22.87,,32.87,
42727,22.87464286,,32.87464286,
42728,22.87928571,,32.87928571,
42729,22.88392857,,32.88392857,
42730,22.88857143,,32.88857143,
42731,22.89321429,,32.89321429,
42732,22.89785714,,32.89785714,
42733,22.9025,,32.9025,
42734,22.90714286,,32.90714286,
42735,22.91178571,,32.91178571,
42736,22.91642857,,32.91642857,
42737,22.92107143,,32.92107143,
42738,22.92571429,,32.92571429,
42739,22.93035714,,32.93035714,
42740,22.935,,32.935,
42741,22.93964286,,32.93964286,
42742,22.94428571,,32.94428571,
42743,22.94892857,,32.94892857,
42744,22.95357143,,32.95357143,
42745,22.95821429,,32.95821429,
42746,22.96285714,,32.96285714,
42747,22.9675,,32.9675,
42748,22.97214286,,32.97214286,
42749,22.97678571,,32.97678571,
42750,22.98142857,,32.98142857,
42751,22.98607143,,32.98607143,
42752,22.99071429,,32.99071429,
42753,22.99535714,,32.99535714,
42754,23,,33,
42755,22.33333333,,32.33333333,
42756,21.66666667,,31.66666667,
42757,21,,31,
42758,20.33333333,,30.33333333,
42759,19.66666667,,29.66666667,
42760,19,,29,
42761,19.5,,29.5,
42762,20,,30,
42763,20.5,,30.5,
42764,21,,31,
42765,21.5,,31.5,
42766,22,,32,
42767,23,,33,
42768,24,,34,
42769,24.09090909,,34.09090909,
42770,24.18181818,,34.18181818,
42771,24.27272727,,34.27272727,
